Integration Report

Project Name: ,Project 41,Type:,Residential,Location:,"London, England"
Quotation Number:,.0,Created by:,Anthony Carter,Document Revision:,
Lutron Designer 23.7.0.17651,,Created on:,"December 05, 2023",,

Device name,Model,href,Component,Component href,Component Name
Ground Floor\‎Entrance Hall\‎Entry Keypad - REMOVED\‎CSD 001,HWIS-10BRL-F-AW,/device/147459,Button 1,/button/147476,AV On
,,,Button 2,/button/147477,AV Off
,,,Button 3,/button/147478,Shading
,,,Button 4,/button/147479,Boardroom
,,,Button 5,/button/147480,Cinema
,,,Button 6,/button/147481,Day
,,,Button 7,/button/147482,Night
,,,Button 8,/button/147483,Entertain
,,,Button 9,/button/147484,Relax
,,,Button 10,/button/147485,Off
,,,Button 18,/button/147486,
,,,Button 19,/button/147488,
,,,Led 1,/led/147465,
,,,Led 2,/led/147466,
,,,Led 3,/led/147467,
,,,Led 4,/led/147468,
,,,Led 5,/led/147469,
,,,Led 6,/led/147470,
,,,Led 7,/led/147471,
,,,Led 8,/led/147472,
,,,Led 9,/led/147473,
,,,Led 10,/led/147474,
Ground Floor\‎Entrance Hall\‎New Entrance Keypad\‎Device 1,2 Column (2B-2B),/device/205252,Button 1,/button/205264,Welcome
,,,Button 2,/button/205267,Off
,,,Button 4,/button/205270,Blinds
,,,Button 5,/button/205273,Blinds
,,,Button 10,/button/205276,
,,,Led 1,/led/205259,
,,,Led 2,/led/205260,
,,,Led 4,/led/205261,
,,,Led 5,/led/205262,
Ground Floor\‎Entrance Hall\‎Crestron Interface\‎Device 1,Phantom Keypad,/device/210385,Button 1,/button/210414,Off
,,,Button 2,/button/210419,Day
,,,Button 3,/button/210424,Entertain
,,,Button 4,/button/210429,Night
,,,Button 5,/button/210434,Relax
,,,Button 6,/button/210439,
,,,Button 7,/button/210444,
,,,Button 8,/button/210449,
,,,Button 9,/button/210454,Raise
,,,Button 10,/button/210459,Lower
,,,Button 11,/button/210464,
,,,Button 12,/button/210469,Front Blinds Open
,,,Button 13,/button/210474,Front Blinds Close
,,,Button 14,/button/210479,Front Blinds Stop
,,,Button 15,/button/210484,
